# 52 TUs analysed, manual overrides: /home/aren/Nextcloud/Clients/Internal/CCR_Electronics/DiveCANHeadRev2/Firmware/scripts/wcs_manual.msu
Translation Unit                                                        Function Name                                     Stack  Unresolved Dependencies
./Firmware/CMakeFiles/app.dir/src/divecan/uds/uds.c                     writeHistogramClearDID                    unbounded:216  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/divecan/uds/uds.c                     writeCalibrationTriggerDID                unbounded:216  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/flash_log/flash_log_listeners.c       error_listener_cb                         unbounded:216  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/flash_log/flash_log_listeners.c       solenoid_fire_listener_cb                 unbounded:216  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/flash_log/flash_log.c                 fl_emit_drop_marker_if_any                unbounded:216  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/divecan/divecan_tx.c                  txName                                    unbounded:208  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/divecan/divecan_tx.c                  txStatus                                  unbounded:208  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/flash_log/flash_log.c                 flash_log_enqueue_pid_snapshot            unbounded:208  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/flash_log/flash_log.c                 flash_log_enqueue_solenoid_fire           unbounded:208  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/flash_log/flash_log.c                 flash_log_enqueue_error                   unbounded:208  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/calibration.c                         cal_save_coefficient                      unbounded:208  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/poseidon_accessories.c                target_stop                               unbounded:208  (__stack_chk_fail ,crc8 ,z_spin_lock_set_owner ,z_spin_lock_valid ,z_spin_unlock_valid)
./Firmware/CMakeFiles/app.dir/src/factory_image_backend_flash.c         flash_backend_init.part.0                 unbounded:208  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/divecan/isotp.c                       HandleFirstFrame.isra                     unbounded:208  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/divecan/uds/uds.c                     writeForceRevertDID                       unbounded:208  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/divecan/divecan_tx.c                  txID                                      unbounded:200  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/divecan/divecan_tx.c                  txPPO2                                    unbounded:200  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/divecan/divecan_tx.c                  txMillivolts                              unbounded:200  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/divecan/divecan_tx.c                  txCellState                               unbounded:200  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/divecan/divecan_tx.c                  txTankPressure                            unbounded:200  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/divecan/divecan_tx.c                  txCalResponse                             unbounded:200  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/calibration.c                         cal_load_coefficient                      unbounded:200  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/divecan/uds/uds.c                     writeSolenoidOverrideDID                  unbounded:200  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/divecan/uds/uds.c                     writeCalibrationTriggerDID.part.0         unbounded:200  (__stack_chk_fail)
